neighborhood,overallqual,grlivarea,garagearea,garagefinish,num_flrs,saleprice
21,5,1180,477.0,2,1,128000
18,7,1690,225.0,3,2,144000
5,8,1370,484.0,2,1,205000
23,5,1486,480.0,1,1,167000
18,5,1131,200.0,3,1,66500
6,8,2799,704.0,1,2,315000
16,7,1456,440.0,1,2,155835
3,8,1734,528.0,2,1,239500
5,9,1531,700.0,1,1,300000
2,8,1922,692.0,1,1,282000
21,5,1144,336.0,2,1,120000
19,7,1363,439.0,3,1,241500
5,9,1866,870.0,1,1,336860
22,3,1077,210.0,3,1,91000
8,8,1550,528.0,1,1,207500
4,7,1646,482.0,1,1,250000
13,7,1248,438.0,1,1,167240
8,7,1245,495.0,2,1,178000
11,6,1052,311.0,1,1,127000
11,6,1829,535.0,2,1,218500
21,4,952,283.0,3,1,135750
21,7,1480,620.0,2,1,214000
10,8,1844,620.0,1,1,257000
17,6,1497,672.0,3,1,157000
22,5,976,215.0,3,1,102000
4,5,964,432.0,3,1,163500
16,7,1501,577.0,2,1,204000
23,5,1560,313.0,3,1,103500
24,5,864,399.0,3,1,118000
16,7,1525,541.0,2,1,235000
21,5,1190,540.0,3,1,132500
8,8,1830,859.0,2,2,221300
16,7,1500,570.0,2,1,190000
16,7,1762,591.0,1,2,222000
4,7,1902,567.0,1,1,335000
8,8,1658,726.0,1,1,257500
8,9,1506,592.0,1,1,264132
25,5,899,288.0,1,1,130000
17,5,1654,336.0,3,1,137000
22,5,912,360.0,2,1,99500
25,5,1373,591.0,1,1,160250
23,7,1709,380.0,3,2,130000
22,5,816,100.0,3,1,75200
27,6,1091,429.0,1,1,131250
21,6,1081,401.0,3,1,148000
25,5,1020,288.0,3,1,124100
21,7,999,588.0,2,1,178400
16,7,1753,534.0,2,2,217000
8,8,1964,760.0,1,2,252000
10,7,1141,484.0,2,1,152000
17,7,854,576.0,3,1,132000
18,6,1182,378.0,3,1,120000
5,9,2091,521.0,2,2,338500
21,4,985,676.0,3,1,105000
15,7,1446,406.0,3,2,175000
19,7,2022,505.0,1,2,192000
16,7,1948,434.0,1,2,195000
8,8,1590,676.0,2,2,210000
15,7,1948,434.0,1,2,211000
17,4,1324,240.0,3,1,128000
21,6,1425,576.0,2,1,180500
18,5,2337,560.0,3,2,90000
21,5,908,512.0,3,1,138500
15,7,1492,440.0,1,2,169985
21,5,1150,288.0,2,1,146000
10,7,2097,678.0,3,2,228000
21,5,1256,311.0,2,1,159000
8,8,1939,1053.0,2,2,266000
18,5,1566,450.0,3,1,139000
16,8,1500,674.0,2,1,212999
5,9,1850,772.0,1,1,326000
15,6,1515,393.0,1,2,179000
2,8,1537,788.0,1,1,294000
26,6,987,288.0,3,2,97000
16,7,1962,868.0,2,2,239799
21,5,1433,441.0,3,1,161000
16,6,848,420.0,1,1,136500
26,6,987,264.0,3,2,118000
27,4,845,360.0,3,1,129500
17,7,1548,672.0,3,1,205000
4,6,2515,484.0,2,1,200624
5,8,1694,856.0,2,1,322400
16,8,1602,810.0,2,1,293200
5,9,1684,564.0,2,1,266000
25,6,1683,440.0,2,2,172500
18,5,1869,456.0,3,1,124900
17,6,1432,216.0,3,1,149000
16,7,1414,494.0,2,1,185500
16,8,1358,418.0,3,1,220000
8,8,1496,474.0,1,1,225000
21,6,932,306.0,3,1,124000
21,3,1040,400.0,3,1,92900
17,5,1072,1184.0,3,1,126500
21,4,864,576.0,3,1,111250
6,8,2285,648.0,1,2,248000
21,5,1117,264.0,3,1,136870
16,6,848,420.0,1,1,133000
21,5,1048,286.0,3,1,135000
21,4,936,288.0,3,1,111900
21,5,1283,506.0,3,1,140000
19,4,1588,680.0,1,1,134432
3,10,2042,724.0,1,1,455000
6,8,2526,844.0,2,2,290000
16,7,1873,597.0,2,2,235500
18,6,1416,400.0,3,1,156500
15,6,1664,460.0,2,2,172400
8,7,1428,480.0,1,1,182000
5,9,1792,925.0,2,1,372397
10,6,2814,614.0,1,2,260000
11,6,2119,583.0,2,1,158000
17,5,1285,240.0,3,1,127000
10,7,1433,528.0,2,1,270000
10,8,2132,612.0,1,1,316600
23,6,1357,312.0,2,1,177000
10,7,2196,701.0,2,1,271900
28,5,1304,336.0,1,2,115000
4,8,2726,691.0,1,1,315000
16,7,1797,639.0,2,2,213500
21,5,1040,625.0,3,1,109500
18,5,789,250.0,3,1,115000
8,7,1143,588.0,2,1,176400
11,6,1489,462.0,2,1,185750
16,8,1852,660.0,1,2,230000
27,5,768,624.0,3,1,129500
21,6,1124,353.0,1,1,153000
8,6,1224,528.0,2,2,173733
21,6,1556,470.0,3,1,172500
27,6,1356,528.0,1,1,188000
1,6,1262,460.0,2,1,181500
16,7,1661,550.0,2,2,212000
11,7,1857,482.0,2,2,188900
19,6,1981,522.0,1,2,230000
23,5,1351,576.0,3,1,122000
21,5,1005,319.0,3,1,133500
18,6,2792,520.0,3,1,256000
28,5,1475,336.0,3,2,129500
16,8,1978,850.0,2,1,318000
5,8,1606,871.0,2,1,255900
5,8,1822,678.0,2,1,259000
4,6,2259,450.0,3,1,217000
17,6,1635,440.0,3,1,210000
21,5,1002,902.0,3,1,148500
15,6,1412,432.0,1,2,156932
21,5,1728,576.0,3,1,145000
16,7,1290,662.0,2,1,200000
5,10,2046,878.0,1,1,450000
8,6,1471,440.0,3,2,172500
11,6,2614,624.0,2,2,240000
8,8,2466,610.0,2,2,340000
2,8,1466,610.0,1,1,201000
16,5,969,440.0,3,1,122000
11,7,1664,663.0,1,1,213000
21,6,1691,550.0,3,1,175000
16,7,1208,628.0,2,1,195400
25,5,1052,668.0,1,1,113500
17,6,1577,312.0,3,1,140200
25,5,909,294.0,3,1,116000
2,9,1838,682.0,1,1,359900
16,6,1388,317.0,3,2,157500
19,5,1867,303.0,1,1,190000
17,5,1301,440.0,3,1,100000
21,6,1251,461.0,2,1,160000
16,7,1444,577.0,2,1,203000
6,8,2810,750.0,2,2,302000
10,6,923,264.0,2,1,143000
16,8,2452,683.0,1,2,267000
21,4,1224,530.0,3,1,103000
27,6,1337,405.0,1,1,153500
25,5,1701,611.0,1,1,171000
23,4,1669,288.0,3,1,107000
21,6,952,288.0,3,1,128500
21,5,922,308.0,3,1,116000
27,5,1126,484.0,2,1,160000
3,8,1280,506.0,2,1,180000
21,5,914,368.0,2,1,133000
27,7,1368,784.0,1,1,215000
4,6,1494,213.0,3,2,177500
8,8,1534,484.0,1,1,215000
17,5,1582,250.0,3,1,150000
10,7,3222,594.0,3,2,320000
21,6,1516,472.0,2,1,167000
23,5,1032,260.0,3,1,125000
16,7,1316,440.0,1,1,200141
8,7,1528,480.0,3,1,235876
22,5,2168,576.0,3,2,123000
25,5,1422,288.0,3,1,137500
21,6,1324,440.0,2,1,160000
15,6,1690,463.0,2,2,181000
18,5,825,720.0,2,1,125000
11,6,1556,441.0,3,2,154000
27,6,1797,616.0,1,2,231000
21,5,1056,304.0,3,1,142000
18,10,3608,840.0,3,2,475000
4,8,1778,495.0,1,1,375000
8,7,1221,400.0,2,1,185000
23,6,865,216.0,3,1,108500
8,7,1223,480.0,2,2,147400
8,7,1452,506.0,3,2,156000
22,5,1308,400.0,3,1,120000
15,7,1374,400.0,1,1,167000
13,7,1504,437.0,1,1,191000
15,6,1384,390.0,1,1,161500
21,5,1411,310.0,2,1,130000
25,5,970,624.0,3,1,132500
25,5,904,912.0,3,1,144000
23,5,2233,579.0,1,2,141000
16,4,875,728.0,3,1,117000
19,4,1663,529.0,1,1,256000
21,5,925,429.0,3,1,117500
4,5,1308,256.0,3,1,160000
25,5,1375,323.0,3,1,187000
5,8,2385,818.0,1,2,350000
21,5,1792,480.0,3,2,133000
5,8,2464,650.0,1,1,417500
13,7,1569,660.0,2,1,175900
16,9,1680,1138.0,1,1,323262
16,7,1337,531.0,2,1,185000
21,6,816,240.0,3,1,129800
5,7,1541,532.0,2,1,220000
17,4,1573,240.0,3,1,133000
21,4,1461,384.0,3,1,133500
27,6,2048,776.0,3,1,170000
15,6,1642,392.0,2,2,168000
18,6,1470,624.0,3,2,140750
15,6,2299,482.0,1,2,204000
15,7,2035,434.0,1,2,222500
21,5,999,300.0,3,1,134500
8,8,1378,540.0,1,1,214000
18,5,1118,410.0,3,1,119900
21,5,1134,254.0,2,1,135000
17,6,1848,370.0,3,1,207000
24,6,1694,576.0,3,1,136500
18,4,901,281.0,3,1,107900
17,6,1409,528.0,3,1,126000
21,6,1656,528.0,1,1,215000
5,10,2332,846.0,1,2,426000
21,5,1113,264.0,3,1,147000
4,6,1232,440.0,3,1,147500
5,9,1950,706.0,1,1,383000
11,7,1872,604.0,1,1,241500
4,6,1264,400.0,3,1,147500
3,8,2500,683.0,1,2,355000
18,2,612,308.0,3,1,45000
19,7,2403,349.0,3,2,244400
21,6,1644,418.0,1,1,167000
16,7,1729,542.0,1,2,200000
24,5,879,180.0,3,1,80000
23,5,864,572.0,3,1,115000
21,6,1196,297.0,2,1,139000
25,6,1400,440.0,1,2,149500
23,4,1510,296.0,3,2,108000
16,7,1240,826.0,2,1,194000
25,5,988,624.0,3,1,129500
21,5,1560,792.0,3,1,126000
23,5,1368,195.0,2,1,120000
16,7,1484,606.0,2,1,213000
7,8,1226,484.0,1,1,190000
15,6,1169,402.0,1,1,183500
21,7,1651,276.0,3,1,172000
23,4,816,288.0,3,1,100000
16,7,1564,814.0,2,1,218836
18,6,1912,672.0,3,1,163000
15,7,1525,534.0,2,1,206580
16,6,1456,390.0,1,2,163990
22,5,1330,390.0,3,2,116500
15,7,1720,400.0,1,2,188000
21,5,1280,432.0,1,1,175000
3,8,1179,480.0,2,1,182000
18,5,960,576.0,2,1,103000
6,10,2633,804.0,2,1,466500
21,6,988,297.0,3,1,149500
12,7,1055,319.0,3,1,142500
4,5,1422,352.0,3,1,136500
20,6,1320,484.0,3,2,137000
11,7,1688,528.0,2,1,226500
15,7,1341,506.0,3,1,171500
16,5,954,576.0,3,1,132500
21,3,1040,400.0,3,1,87500
8,7,1789,546.0,1,2,223000
21,6,1537,462.0,2,1,174000
21,5,884,270.0,1,1,142000
8,8,1489,776.0,2,1,232600
11,6,1309,484.0,2,1,181000
28,6,2521,576.0,1,2,151400
5,8,1634,866.0,2,1,250000
11,7,1714,496.0,3,2,196500
18,7,2454,576.0,3,2,185000
11,6,1216,336.0,3,1,113000
3,8,1419,567.0,2,1,392000
8,6,1573,440.0,3,2,177000
8,6,2443,744.0,2,2,265000
8,8,2362,1105.0,2,2,312500
18,10,2775,880.0,3,2,325000
1,8,2014,864.0,2,1,275000
6,7,2520,721.0,2,2,290000
25,6,1494,461.0,1,1,169000
17,5,616,205.0,3,1,89000
15,6,1465,393.0,1,2,180400
5,8,1629,880.0,2,1,284000
21,5,912,275.0,2,1,114500
16,7,1552,782.0,2,1,212900
16,7,1430,605.0,2,1,187100
8,6,1458,440.0,3,2,176000
4,6,1488,552.0,2,1,215000
16,7,1582,520.0,2,2,185900
21,4,864,660.0,3,1,120500
15,5,1838,372.0,1,2,192140
27,5,816,264.0,3,1,130500
23,4,1529,240.0,3,1,98000
16,9,2276,1348.0,2,1,475000
22,5,1077,338.0,3,1,67000
5,8,2161,789.0,1,2,325624
27,7,1409,576.0,2,1,245000
10,5,1114,576.0,3,1,159000
21,5,1073,515.0,2,1,156000
5,10,2402,672.0,1,1,555000
1,6,1232,516.0,3,1,162500
10,6,1440,920.0,3,1,224500
15,6,1488,738.0,2,1,133000
15,7,1509,393.0,1,2,180000
27,5,845,264.0,3,1,134500
3,10,2945,641.0,1,2,438780
21,6,1431,296.0,2,1,165000
21,5,892,288.0,2,1,100000
21,7,1329,441.0,3,1,176000
25,5,1779,454.0,3,1,170000
13,7,1555,660.0,1,1,174000
22,6,1236,384.0,3,1,127000
15,7,1651,450.0,1,2,185900
18,5,886,273.0,3,1,91300
16,6,1700,544.0,2,1,200000
21,6,1846,315.0,3,1,143000
25,5,1920,451.0,3,1,172500
23,4,1088,520.0,3,1,110000
21,4,1362,768.0,2,1,140000
16,6,1314,440.0,2,1,176432
10,6,1294,496.0,2,1,179200
16,7,1274,508.0,2,1,203000
8,7,1689,954.0,2,1,248328
2,9,1641,885.0,1,1,316500
23,7,1079,249.0,3,1,125600
18,5,984,308.0,3,1,110000
18,4,960,308.0,3,1,108500
22,5,1044,504.0,3,1,55993
18,5,1633,240.0,3,1,129000
2,6,1137,551.0,3,1,176000
21,6,1380,364.0,3,1,154000
2,6,1256,578.0,3,1,180000
28,5,1142,528.0,1,1,134000
23,6,2158,576.0,3,1,243000
2,8,1629,808.0,1,1,270000
27,6,1080,484.0,3,1,134000
6,7,2646,656.0,2,2,260000
16,7,1491,484.0,2,2,168675
15,6,1694,398.0,1,1,160000
16,6,1422,440.0,1,2,173000
8,7,1301,572.0,2,1,187750
11,7,2093,542.0,1,2,215000
25,5,1073,270.0,2,1,120000
8,7,1506,672.0,2,1,249000
11,7,1334,477.0,2,1,164500
14,7,1295,312.0,2,1,230000
18,7,1344,456.0,3,2,140000
21,5,732,240.0,3,1,118900
16,8,1468,904.0,2,1,239900
12,6,1069,440.0,2,1,146300
28,5,1040,499.0,3,1,124000
25,5,999,308.0,3,1,130000
10,7,1349,539.0,3,1,179000
15,7,1442,500.0,2,1,180500
18,4,747,220.0,3,1,80000
8,8,1578,840.0,1,1,287090
18,5,882,308.0,3,1,97000
13,7,1511,398.0,1,1,246990
15,6,1128,480.0,3,1,154204
21,7,1312,495.0,2,1,186000
26,5,1302,264.0,3,2,111750
5,9,2696,958.0,1,1,500000
16,7,1356,484.0,1,2,177439
5,9,2184,836.0,1,2,335000
11,7,1964,483.0,2,2,205000
3,8,1321,484.0,2,1,212000
4,8,1646,525.0,1,1,246000
11,7,1260,598.0,3,1,181900
18,5,1316,484.0,3,1,130000
18,5,1432,360.0,3,2,132000
10,7,1958,499.0,2,2,220000
16,8,1788,522.0,2,1,236500
8,8,1935,552.0,1,2,263435
22,6,1969,400.0,3,1,141000
15,7,1986,434.0,1,2,213000
2,7,1214,520.0,2,1,179781
5,8,1342,550.0,1,1,234250
2,8,2898,665.0,1,1,287000
15,8,2004,644.0,1,2,257500
17,6,986,180.0,3,1,102000
22,7,1108,280.0,3,1,139400
18,3,1214,936.0,3,1,105000
21,8,2217,621.0,3,1,268000
23,6,2201,432.0,3,1,274970
13,7,1220,397.0,1,1,180000
18,7,1378,360.0,3,2,161000
23,4,930,308.0,3,1,84900
21,5,988,264.0,3,1,119000
2,8,1964,892.0,1,1,370000
16,7,1270,524.0,2,1,175900
10,5,2240,528.0,3,2,142953
1,8,1494,478.0,1,1,279700
21,5,1364,331.0,2,1,132000
16,9,2153,736.0,1,2,313000
22,4,1336,570.0,3,1,108000
23,7,1656,397.0,1,2,165400
16,6,1499,473.0,2,2,187000
6,8,2794,810.0,1,2,403000
11,6,2030,551.0,1,2,195000
21,6,1254,525.0,2,1,158500
16,8,1989,586.0,1,2,255000
4,5,1898,484.0,3,1,236500
21,5,988,360.0,3,1,129250
4,7,1801,484.0,1,1,289000
27,5,1872,484.0,3,2,100000
16,8,2439,560.0,1,2,275000
16,8,1764,560.0,3,2,207000
21,5,1200,884.0,3,1,146000
26,6,1030,264.0,3,2,116000
16,7,2034,645.0,2,2,219500
5,7,1405,478.0,2,1,173000
23,4,1229,284.0,2,1,135000
16,7,1932,610.0,2,2,213000
25,6,1299,494.0,3,1,150000
13,7,1402,648.0,1,1,194201
13,7,1504,457.0,1,1,181000
21,6,1442,301.0,2,1,157900
16,7,1779,586.0,1,2,217000
8,8,1953,1043.0,2,2,252000
16,7,1909,529.0,2,2,197000
15,7,1630,436.0,1,2,189500
23,5,1250,280.0,3,1,116000
11,6,1328,528.0,3,1,143000
21,5,988,276.0,3,1,119000
21,6,1278,240.0,3,1,127500
8,6,1716,615.0,2,2,200825
23,2,498,216.0,3,1,35000
11,7,2840,1314.0,1,2,292500
26,6,987,280.0,3,2,106000
25,4,756,440.0,3,1,85000
5,8,1712,701.0,2,1,286500
12,6,1069,440.0,2,1,127500
8,7,1335,575.0,2,1,210400
5,8,1518,588.0,2,1,274000
2,8,1780,612.0,1,2,264966
22,4,1484,264.0,3,1,50000
18,5,1652,416.0,3,1,139000
1,7,2503,564.0,2,2,300000
21,8,2704,538.0,1,1,345000
16,8,1592,484.0,1,1,228000
15,7,1394,400.0,1,1,165500
18,4,1328,210.0,3,2,107000
3,8,1593,682.0,1,1,286000
21,5,912,288.0,3,1,115000
13,8,1456,400.0,1,1,215000
18,7,1944,216.0,3,2,179900
3,8,1502,528.0,2,1,212000
15,8,2064,527.0,1,2,250000
17,5,1576,225.0,3,1,149000
15,6,1658,431.0,1,2,188000
18,3,713,371.0,3,1,99800
18,7,2554,704.0,3,2,159500
15,7,1374,400.0,1,1,184500
16,8,2574,868.0,1,2,276000
12,6,1548,440.0,3,2,155000
27,5,1404,504.0,3,1,160000
21,5,1440,480.0,1,2,157500
27,8,1803,482.0,3,1,285000
10,7,2037,472.0,1,1,229000
17,4,896,280.0,3,1,79000
18,4,1281,580.0,3,1,128500
6,8,1976,885.0,1,2,286000
15,6,1608,470.0,1,2,189500
21,5,1210,616.0,1,1,102900
17,5,1612,363.0,3,1,128500
21,5,1728,371.0,3,1,156000
2,8,2482,642.0,1,2,281213
21,7,2069,505.0,2,1,242000
21,6,1478,498.0,3,1,157500
23,7,1724,616.0,1,2,196500
16,7,1425,591.0,2,1,193000
17,5,1322,280.0,3,1,132000
18,7,1428,576.0,1,2,139900
21,6,1194,312.0,2,1,148000
5,8,1818,774.0,1,2,281500
5,8,2956,916.0,2,2,342000
27,6,1210,528.0,3,1,148000
25,5,1641,490.0,3,1,140000
21,5,1053,750.0,2,1,150000
6,7,2125,576.0,2,2,279500
23,6,1072,525.0,1,1,140000
27,6,1664,616.0,3,1,145000
21,7,1337,511.0,1,1,184000
7,8,1226,484.0,1,1,206000
28,4,1092,253.0,3,2,85500
4,6,1660,240.0,3,2,188700
11,6,1671,484.0,2,1,200000
10,7,1061,462.0,3,1,162000
25,5,672,240.0,3,1,108000
11,5,1621,478.0,2,1,213000
5,8,1734,928.0,2,1,318000
18,5,2138,360.0,3,2,106000
23,6,2009,795.0,3,2,235000
21,6,1362,504.0,3,1,163000
23,5,1134,240.0,3,1,126000
18,7,2082,484.0,3,1,200000
21,5,1524,315.0,3,1,144000
6,8,2582,758.0,1,2,322500
16,7,1661,598.0,2,1,224900
17,5,1576,528.0,2,2,223500
23,4,960,288.0,3,1,112000
15,6,1604,470.0,1,2,187500
23,6,1196,528.0,3,1,110000
5,6,1362,460.0,2,1,207000
25,4,1296,516.0,3,1,90000
27,5,1287,440.0,3,2,130000
17,5,1252,576.0,3,1,127000
8,9,1905,788.0,1,1,320000
18,5,1130,720.0,3,1,120000
10,7,1659,484.0,2,2,181000
23,4,894,400.0,3,1,110000
27,5,1008,678.0,1,1,153500
23,3,1733,452.0,3,1,139600
21,5,1568,440.0,3,1,143000
6,8,3238,666.0,1,1,410000
16,6,1772,492.0,2,2,200000
21,5,864,312.0,1,1,130000
23,6,1639,240.0,3,2,154400
11,8,2715,831.0,1,2,299800
23,5,1112,226.0,3,1,63000
18,5,1347,551.0,3,1,143000
21,5,964,784.0,1,1,137500
11,6,2872,619.0,1,2,272000
15,6,1167,400.0,2,1,173000
19,7,1524,478.0,1,1,245000
18,5,936,672.0,3,1,140000
16,7,2696,792.0,1,2,383970
23,4,1482,609.0,3,1,125000
16,5,768,396.0,3,1,133000
8,8,1468,898.0,1,1,244600
21,5,1044,372.0,1,1,139000
21,5,1036,312.0,2,1,112900
18,5,1360,330.0,3,2,111000
21,6,1392,458.0,2,1,166000
8,7,1950,576.0,2,2,239000
27,7,1344,784.0,1,1,209200
11,5,1484,487.0,3,1,175000
5,7,1760,583.0,1,1,269500
15,7,2322,400.0,1,2,225000
3,8,1742,564.0,2,1,275000
21,5,1376,240.0,3,1,105000
21,5,1086,484.0,2,1,159950
18,5,1656,180.0,3,1,135000
5,8,2122,938.0,1,1,345474
4,7,1696,625.0,1,1,198000
8,8,2078,836.0,1,2,339750
18,5,1466,566.0,3,1,170000
21,5,876,576.0,3,1,94000
16,7,1737,578.0,2,2,203160
8,7,1662,711.0,2,1,291000
15,6,2267,390.0,2,2,200000
21,5,1584,506.0,3,1,119000
8,7,1812,469.0,2,2,205000
26,6,1092,264.0,3,2,108000
27,5,1632,576.0,3,1,143000
24,7,3082,672.0,1,2,197000
8,7,1665,562.0,2,2,205950
11,6,1743,539.0,3,2,175000
8,8,2048,552.0,3,2,301000
5,7,1314,626.0,2,1,230000
5,7,1405,478.0,2,1,171750
17,5,1324,180.0,3,1,110000
23,6,1074,467.0,3,1,144500
21,5,1422,576.0,3,1,155000
18,6,1200,312.0,3,1,125000
18,7,1690,624.0,3,2,156500
25,6,1212,492.0,3,1,151000
21,6,1105,308.0,3,1,135000
28,4,1092,253.0,3,2,79400
5,6,1358,484.0,2,1,213000
2,8,1908,431.0,1,2,202900
16,6,1796,546.0,2,2,211000
24,6,1608,216.0,3,1,137450
25,4,1620,490.0,3,1,150000
23,5,1111,200.0,3,1,95000
8,7,1501,440.0,3,2,179400
8,5,1588,561.0,3,2,212109
21,5,1235,480.0,3,1,98600
23,5,1325,576.0,3,1,216000
6,8,2234,768.0,2,2,300000
19,7,2260,533.0,2,2,328000
21,5,1109,288.0,3,1,139000
19,5,1000,575.0,3,1,164000
9,6,1045,462.0,3,2,123900
21,6,1337,522.0,1,1,177000
22,4,1315,436.0,2,1,99500
15,6,1326,427.0,1,1,174190
8,7,1200,480.0,2,2,151000
16,6,848,420.0,1,1,143750
27,5,796,336.0,3,1,131900
27,5,1432,531.0,1,2,157000
22,5,1344,468.0,3,2,147000
15,7,1432,432.0,1,2,188500
5,7,1364,484.0,2,1,185850
25,5,984,310.0,3,1,126000
21,5,864,308.0,3,1,118000
3,9,1612,556.0,1,1,319900
27,6,1003,588.0,3,1,142500
21,5,1200,246.0,1,1,129900
5,7,1368,474.0,2,1,202500
25,5,1640,394.0,2,1,131000
16,6,1838,721.0,3,1,185000
12,6,1456,440.0,1,2,138000
18,6,1368,216.0,3,2,114504
23,6,1487,220.0,3,1,113000
22,4,1154,240.0,3,1,125500
25,5,1020,528.0,3,1,165000
18,5,1440,352.0,3,1,79000
8,6,1236,480.0,2,2,152000
17,6,1664,420.0,3,1,159000
21,4,1100,312.0,2,1,141000
21,6,1488,430.0,1,1,167000
17,5,1453,240.0,3,1,132000
10,7,1442,719.0,1,1,179900
25,5,900,280.0,3,1,122000
21,6,1045,264.0,2,1,127000
21,6,1419,543.0,1,1,190000
25,5,1452,572.0,3,1,158450
25,5,1464,480.0,2,1,175000
15,9,1746,758.0,1,1,377500
17,5,1536,480.0,3,1,138400
16,7,1734,660.0,1,1,260000
5,8,1976,908.0,2,1,440000
16,7,1212,573.0,2,1,178000
21,5,1052,288.0,2,1,138500
25,5,1057,576.0,1,1,132000
23,6,1609,305.0,3,1,149900
17,7,1668,252.0,3,1,108000
16,5,924,280.0,3,1,110000
9,6,1229,462.0,1,2,124000
8,7,1352,466.0,2,1,194000
25,5,948,300.0,3,1,108000
25,5,864,440.0,3,1,122000
19,7,1700,450.0,1,1,148400
23,5,1276,350.0,3,1,60000
10,7,1626,534.0,2,1,226500
22,2,480,308.0,3,1,35311
27,5,889,484.0,3,1,137500
23,6,1117,542.0,2,1,147000
5,8,2452,691.0,1,2,309000
4,7,2365,551.0,1,1,315000
21,5,912,576.0,3,1,147000
13,8,1567,648.0,1,1,264561
21,5,1360,572.0,3,1,130000
8,6,1525,440.0,3,2,177000
24,7,1073,246.0,3,1,157000
25,5,1159,336.0,3,1,158000
21,4,1540,352.0,3,1,115000
25,5,894,308.0,3,1,120750
8,7,1674,663.0,2,2,216000
28,4,1092,286.0,3,2,75000
1,6,1430,484.0,3,1,192000
25,6,1040,616.0,3,1,160500
16,7,1494,840.0,2,1,279500
25,5,1075,440.0,3,1,148000
25,5,992,294.0,2,1,145000
6,8,2520,796.0,2,2,310000
21,6,1146,294.0,3,1,165000
6,8,2448,711.0,2,2,402000
8,7,1958,936.0,1,2,250000
5,9,1565,556.0,2,1,282500
8,8,1595,880.0,2,1,221500
4,4,1680,628.0,3,1,170000
21,6,1040,480.0,2,1,163000
6,8,2531,752.0,2,2,290000
6,8,2538,933.0,2,2,330000
26,6,987,264.0,3,2,111000
16,6,1755,530.0,2,2,214000
21,5,1152,636.0,3,1,137500
8,7,1884,581.0,2,2,240900
6,7,1923,564.0,2,2,190000
16,7,1611,1231.0,2,1,250000
1,5,1437,528.0,2,1,218000
11,7,2075,473.0,3,2,255000
15,7,1670,690.0,2,1,240000
16,8,2140,894.0,1,1,360000
21,5,1265,502.0,2,1,179900
2,8,1312,471.0,3,1,180500
10,7,2787,820.0,1,2,269500
15,7,1733,433.0,1,2,225000
22,6,1215,720.0,1,1,141000
5,9,1743,927.0,2,1,335000
16,5,1026,308.0,3,1,150000
1,9,1842,894.0,1,1,385000
21,7,1986,486.0,3,2,205000
16,7,1208,632.0,2,1,206000
16,7,1422,626.0,2,1,179600
23,4,1220,396.0,3,1,102000
11,5,1126,540.0,2,1,175000
21,5,1384,896.0,3,1,159000
23,6,1127,480.0,3,1,135000
23,6,1855,325.0,3,1,136900
25,5,1236,288.0,3,1,135000
6,8,2365,856.0,2,2,337000
11,6,2654,619.0,3,2,250000
11,8,2340,787.0,2,2,306000
8,7,1392,540.0,3,2,146000
22,6,2180,720.0,3,1,161000
11,6,1610,480.0,2,1,205000
2,7,1501,512.0,1,1,241500
25,4,1029,261.0,3,1,118500
19,5,1352,288.0,3,1,130000
18,5,1072,379.0,3,1,130000
3,10,2698,736.0,2,2,535000
25,5,912,252.0,3,1,123000
18,7,1450,288.0,3,2,132000
18,5,1073,326.0,3,1,108480
25,5,1458,512.0,3,1,165000
10,7,1486,566.0,2,1,181000
25,5,1774,384.0,3,1,165000
27,5,1479,275.0,1,1,161000
8,8,1504,510.0,1,1,199000
2,7,1894,510.0,1,2,214900
8,8,1278,584.0,2,1,198600
6,8,2263,420.0,1,2,258000
10,7,2787,820.0,1,2,269500
15,7,1414,403.0,1,2,176000
21,6,1302,309.0,2,1,158000
15,8,1419,527.0,1,1,184100
11,6,1220,944.0,3,1,170000
4,6,1982,501.0,1,1,208000
16,6,848,420.0,1,1,140000
4,8,1648,482.0,1,1,230000
3,8,1337,462.0,2,1,188500
4,5,1717,410.0,3,1,194000
21,5,1104,384.0,2,1,133000
16,5,907,343.0,3,1,140000
16,7,1652,532.0,2,2,207500
11,6,2640,515.0,2,2,256900
18,5,1034,240.0,3,1,109000
10,5,1513,400.0,3,1,113722
16,8,1498,844.0,1,1,237000
21,5,1053,692.0,2,1,142100
21,6,1293,452.0,2,1,149900
5,9,2020,896.0,2,1,404000
21,7,2448,441.0,2,2,277500
10,6,1732,476.0,1,2,178000
5,8,1324,550.0,1,1,254000
18,2,832,780.0,3,1,12789
15,7,1253,402.0,1,1,176000
5,9,2596,840.0,2,2,342643
25,5,902,288.0,3,1,125500
2,6,1495,438.0,3,1,150000
8,8,1584,594.0,1,1,261329
21,4,1647,280.0,1,1,153000
13,7,1258,648.0,1,1,172500
17,6,1396,384.0,3,2,153575
22,5,1001,216.0,3,1,124900
5,9,2121,732.0,1,1,415298
18,6,1480,207.0,3,1,119000
8,8,1588,825.0,2,1,227000
21,5,1053,312.0,2,1,145500
18,3,492,200.0,3,1,61500
21,7,1851,506.0,1,1,192100
22,6,1403,308.0,3,2,116000
21,6,1138,264.0,2,1,145000
5,9,2452,886.0,1,1,445000
16,5,1040,484.0,3,1,150500
15,6,1655,440.0,1,2,175900
11,6,1116,528.0,2,1,167900
15,7,1863,660.0,1,2,219210
10,6,1845,462.0,2,2,189000
21,5,1176,292.0,2,1,136500
25,5,892,416.0,3,1,137900
